,Nama Produk,harga,pengiriman,diskon
0,S-tee Minuman Teh Kotak,Rp2.500,Instant,
1,Yeo's Minuman Rasa Bunga Krisantemum,Rp7.700,Instant,
2,Fanta Grape Minuman Soda Botol,Rp5.900,Instant,
3,Coca-Cola Zero Minuman Soda Can,Rp6.400,Instant,
4,A&W Sarsaparila Minuman Soda Can,Rp7.200,Instant,
5,Pocari Sweat Minuman Isotonik Botol,Rp8.900,Instant,
6,Fanta Strawberry Minuman Soda Botol,Rp5.900,Instant,
7,Mizone Activ Lychee Lemon Minuman Isotonik,Rp6.400,Instant,
8,Tebs Sparkling Mix Fruit Carbonated Tea Drink PET,Rp8.800,Instant,
9,Coca-Cola Zero Minuman Soda Botol,Rp11.500,Instant,
10,Mizone Coco Boost Minuman Isotonik,Rp6.500,Instant,
11,Sprite Minuman Soda Can Dus 250ml,Rp148.000,Instant,
12,Fanta Strawberry Minuman Soda Can,Rp6.400,Instant,
13,Coca-Cola Minuman Soda Botol,Rp11.500,Instant,
14,Sprite Zero Sugar Minuman Soda Botol,Rp11.500,Instant,
15,Coca-Cola Zero Minuman Soda Can Dus 250ml,Rp119.400,Instant,
16,Coca-Cola Minuman Soda Can Dus 250ml,Rp119.400,Instant,
17,Bundaberg Ginger Beer Minuman Soda Non Alcohol,Rp30.400,Instant,
18,Sprite Zero Sugar Minuman Soda Botol,Rp5.900,Instant,
19,Cap Badak Rootbeer Minuman Soda,Rp25.000,Instant,
20,Sprite Minuman Soda Botol,Rp11.500,Instant,
21,Sprite Minuman Soda Botol,Rp5.900,Instant,
22,Sprite Waterlymon Minuman Soda Botol,Rp5.300,Instant,
23,Fanta Orange Minuman Soda Botol,Rp5.900,Instant,
24,Groovy Root Brew Minuman Soda Can,Rp8.000,Instant,
25,Coca-Cola Classic Minuman Soda Can,Rp6.400,Instant,
26,Coca-Cola Zero Minuman Soda PET,Rp5.900,Instant,
27,Coca-Cola Minuman Soda Botol,Rp5.500,Instant,
28,Fanta Strawberry Minuman Soda Botol,Rp11.500,Instant,
29,Nutrive Benecol Orange Minuman Sehat,Rp9.500,Instant,
30,Hydro Coco Minuman Air Kelapa Original,Rp8.800,Instant,
31,Minuman Botanikal Astro Goods,Rp30.875,Instant,5%
32,Adem Sari Minuman Penyejuk 7gr x 5pcs,Rp17.777,Instant,3%
33,Fibe-Mini Fiber Drink Multipack 100ml,Rp50.500,Instant,
34,Fibe Mini Fiber Drink,Rp8.500,Instant,
35,Oronamin C Drink,Rp7.300,Instant,
36,Larutan Cap Kaki Tiga Anak Rasa Stroberi Can,Rp6.100,Instant,7%
37,Acaii Tea Pink Drink,Rp24.400,Instant,
38,Yeo's Minuman Sari Kedelai,Rp7.800,Instant,
39,Sosro Tehbotol Less Sugar,Rp4.600,Instant,
40,Teh Pucuk Harum Melati,Rp3.700,Instant,
41,Pokka Green Tea Jasmine,Rp6.400,Instant,
42,Ichitan Green Tea Honey Lemon,Rp4.900,Instant,
43,Pokka Oolong Tea Less Sugar,Rp6.400,Instant,
44,Ito En Oi Ocha Hojicha,Rp11.900,Instant,
45,Ito En Jasmine Green Tea Unsweetened,Rp12.100,Instant,
46,Ultrajaya Teh Kotak Rasa Apel,Rp4.200,Instant,
47,Teh Botol Sosro Dus 250ml,Rp86.400,Instant,
48,Sosro Fruit Tea Blackcurrant,Rp6.900,Instant,
49,Ultrajaya Teh Kotak Jasmine Less Sugar,Rp4.200,Instant,
50,Ito En Oi Ocha Unsweetened Green Tea,Rp11.100,Instant,
51,Ito En Unsweetened Oolong Tea,Rp11.100,Instant,
52,Pokka Green Tea No Sugar,Rp10.300,Instant,
53,Ito En Oi Ocha Unsweetened Green Tea,Rp22.700,Instant,
54,Ichitan Thai Milk Green Tea,Rp9.300,Instant,
55,Nu Green Tea Original,Rp5.100,Instant,
56,Ito En Unsweetened Barley Tea,Rp13.500,Instant,
57,Pokka Teh Leci,Rp6.700,Instant,
58,Nu Milk Tea,Rp8.300,Instant,
59,Pokka Lemon Tea,Rp6.700,Instant,
60,Ultrajaya Teh Kotak Jasmine,Rp4.200,Instant,
61,Sosro Joy Tea Oolong Unsweetened PET 350ml,Rp7.000,Instant,
62,Ichitan Green Tea Apple,Rp4.900,Instant,
63,Ultrajaya Teh Kotak Jasmine,Rp13.500,Instant,
64,Ultrajaya Teh Kotak Jasmine Less Sugar,Rp10.900,Instant,
65,Pokka Oolong Tea No Sugar,Rp11.300,Instant,
66,Ultrajaya Teh Kotak Rasa Leci,Rp4.200,Instant,
67,Ultrajaya Teh Kotak Rasa Mangga,Rp4.200,Instant,
68,Ultrajaya Teh Kotak Jasmine Less Sugar 300ml,Rp103.200,Instant,
69,Ultrajaya Teh Kotak Jasmine 300ml,Rp103.200,Instant,
70,Ichitan Thai Milk Tea,Rp9.300,Instant,
71,Ichitan Thai Milk Coffee,Rp9.500,Instant,
72,Ichitan Brown Sugar Milk,Rp9.300,Instant,
73,Teh Pucuk Harum,Rp3.300,Instant,
74,Ultrajaya Teh Kotak Rasa Lemon,Rp4.200,Instant,
75,Ultrajaya Teh Kotak Rasa Blackcurrant,Rp4.200,Instant,
76,Teh Botol Sosro Original,Rp3.600,Instant,
77,Sosro Tehbotol,Rp3.900,Instant,
78,Teh Bandulan Dus 160ml,Rp31.500,Instant,
79,Nu Green Tea Original,Rp7.300,Instant,
80,Nu Green Tea Madu,Rp7.300,Instant,
81,Sosro Tehbotol,Rp11.200,Instant,
82,Yeo's Winter Melon Tea,Rp7.700,Instant,
83,Sosro Tehbotol Original Botol,Rp4.600,Instant,
84,Pokka Green Tea Jasmine Can,Rp9.800,Instant,
85,Teh Pucuk Harum Melati,Rp6.200,Instant,
86,Frestea Jasmine Lychee Honey Tea,Rp17.100,Instant,
87,Nipis Madu Lime Soda,Rp4.200,Instant,
88,Beli 3 Coca-Cola Zero Free Changing Color Cup,Rp17.700,Instant,
89,Combo Coca-Cola x Belfoods,Rp26.800,Instant,16%
90,Combo Hemat Pocari dan Oronamin C,Rp16.200,Instant,
91,Polaris Ginger Ale Can,Rp6.900,Instant,8%
92,Polaris Bitter Lemon Can,Rp6.900,Instant,8%
93,Polaris Sarsaparila Can,Rp7.000,Instant,8%
94,Polaris Coffee Cream Can,Rp6.900,Instant,8%
95,Nipis Madu Dus 330ml,Rp59.400,Instant,
96,Green Sands Apple Lime Can,Rp6.600,Instant,
97,Fanta Strawberry Can Dus 250ml,Rp119.400,Instant,
98,Sprite Zero Can Dus 250ml,Rp119.400,Instant,
99,A&W Sarsaparila Can Dus 250ml,Rp126.000,Instant,
100,Schweppes Soda Water Can Dus 250ml,Rp124.000,Instant,
101,Schweppes Ginger Ale Can Dus 250ml,Rp124.000,Instant,
102,Fanta Strawberry Zero PET,Rp5.900,Instant,
103,Schweppes Soda Water Can,Rp8.000,Instant,
104,Schweppes Ginger Ale CAN,Rp6.300,Instant,
105,Schweppes Botanical Tonic Water Can Dus 250ml,Rp138.000,Instant,
106,Polaris Soda Water Can,Rp6.000,Instant,8%
107,Ion Water Pet,Rp7.400,Instant,
108,Groovy Zoda Soda Water,Rp5.700,Instant,
109,Green Sands Lemon & Grape Can,Rp6.300,Instant,
110,Sprite Botol,Rp5.500,Instant,
111,Mizone Mood Up Isotonic Cranberry & White Tea Botol,Rp6.400,Instant,
112,Schweppes Botanical Tonic Water Can,Rp6.300,Instant,
113,Green Sands Original Lime & Apple Can,Rp9.100,Instant,
114,Hemaviton C1000 Lemon Can,Rp5.700,Instant,10%
115,Sereh Jahe Madu Astro Goods,Rp30.875,Instant,5%
116,Adem Sari Chingku Lemon Botol,Rp9.414,Instant,3%
117,Nutrive Benecol Blackcurrant Multipack 100ml,Rp54.100,Instant,5%
118,Oronamin C Multipack 120ml,Rp42.000,Instant,
119,Larutan Cap Kaki Tiga,Rp9.300,Instant,
120,YOU-C 1000 Orange,Rp8.200,Instant,
121,Namaste Organic Alchemy Jamu,Rp172.800,Instant,
122,Tropicana Slim Collagen Shot Peach Blossom 190ml,Rp9.900,Instant,10%
123,Nutrifarm Sari Buah Lemon,Rp29.000,Instant,
124,Acaii Tea Vege Shot,Rp24.000,Instant,
125,Acaii Tea Skinlift Tea,Rp45.000,Instant,
126,Acaii Tea Kids Jelly Lemon,Rp17.000,Instant,
127,Acaii Tea Kids Anti Flu Shot,Rp25.000,Instant,
128,Acaii Tea Black Lemon,Rp25.000,Instant,
129,Acaii Tea Skinny Lemonade,Rp25.000,Instant,
130,Acaii Tea Glow Recipe,Rp25.000,Instant,
131,Malee Coconut Water Botol,Rp24.000,Instant,6%
132,Malee Coconut Water,Rp57.300,Instant,5%
133,Cap Panda Sarang Burung Kaleng Dus Nataru 310ml,Rp124.000,Instant,14%
134,Beli Fibe Mini Multipack Gratis Bucket Bag,Rp101.000,Instant,
135,Nutrive Benecol Orange Multipack 100ml,Rp54.100,Instant,5%
136,Cap Panda Bird Nest,Rp6.700,Instant,6%
137,Lasegar Twist Leci Lemon,Rp6.900,Instant,
138,Mamita Mambucha Teh Fermentasi Original Kombucha Bottle,Rp57.000,Instant,
139,Mamita Mambucha Artisan Tea Lavender Bottle,Rp57.000,Instant,
140,Tarami Konjac Grape Jelly Pouch,Rp28.900,Instant,
141,Acaii Tea x Chris CSB Red Power Shot,Rp23.630,Instant,15%
142,Acaii Tea Kids Pink Dragon,Rp16.500,Instant,
143,Acaii Tea Strawberry Chia Jelly,Rp23.100,Instant,
144,Acaii Tea Detox Shot,Rp29.000,Instant,
145,Acaii Tea Kids Jelly Berry,Rp16.500,Instant,
146,Kayu Manis Jahe Astro Goods,Rp29.300,Instant,10%
147,Kunyit Asam Astro Goods,Rp30.875,Instant,5%
148,Coco Loco Kelapa Ijo,Rp34.900,Instant,
149,Vegeta Herbal Anggur Merah 5gr,Rp20.200,Instant,
150,Nutrive Benecol Strawberry,Rp9.500,Instant,
151,Nutrive Benecol Lychee,Rp9.500,Instant,
152,Nutrive Benecol Blackcurrant,Rp9.500,Instant,
153,Scrubber Vegeta Jeruk,Rp14.900,Instant,
154,Cap Panda Grass Jelly Basil Seed,Rp6.700,Instant,6%
155,Kiranti Juice Orange,Rp9.500,Instant,
156,Ichitan Thai Coco Water,Rp7.600,Instant,
157,Larutan Cap Kaki Tiga Cooltopia Lemon Lime,Rp6.600,Instant,6%
158,Larutan Cap Kaki Tiga Jambu Can,Rp6.600,Instant,6%
159,Larutan Cap Kaki Tiga Grape,Rp6.600,Instant,6%
160,Larutan Cap Kaki Tiga Anak Rasa Leci,Rp6.100,Instant,7%
161,Acaii Tea Anti-Batuk Shot,Rp25.100,Instant,
162,[CHILLED] YOU-C 1000 Orange,Rp9.200,Instant,
163,YOU-C 1000 Mango,Rp8.200,Instant,
164,Cap Panda Liang Teh,Rp6.700,Instant,6%
165,Cap Panda Grass Jelly,Rp6.700,Instant,6%
166,Acaii Tea Super Orange,Rp27.800,Instant,
167,Acaii Tea Bee & C Shot,Rp24.400,Instant,
168,Acaii Chlorophyll Green,Rp18.100,Instant,
169,Acaii Tea Teatox Berry,Rp23.100,Instant,
170,Acaii Tea Honey Lemon Jelly,Rp23.100,Instant,
171,Acaii Tea Anti-flu Shot,Rp25.100,Instant,
172,Coco Loco Coconut Water,Rp34.900,Instant,
173,Hemaviton Vitamin C 1000 Orange,Rp7.000,Instant,8%
174,Ultra Sari Kacang Ijo,Rp5.600,Instant,
175,Larutan Cap Kaki Tiga Orange,Rp6.600,Instant,6%
176,Kiranti Sehat Datang Bulan Original,Rp8.100,Instant,
177,Adem Sari Ching Ku Sparkling Herbal Lemon,Rp9.252,Instant,4%
178,YOU-C 1000 Apple,Rp8.200,Instant,
179,YOU-C 1000 Lemon Water,Rp9.300,Instant,
180,Larutan Penyegar Cap Kaki Tiga,Rp4.000,Instant,7%
181,YOU-C 1000 Lemon,Rp8.200,Instant,
182,YOU-C 1000 Orange Water,Rp9.300,Instant,
183,Larutan Cap Kaki Tiga Anak Tawar,Rp4.000,Instant,7%
184,Larutan Cap Kaki Tiga Leci,Rp6.600,Instant,6%
185,Rejuve Cold Pressed Juice Green Glory,Rp57.000,Instant,
186,Rejuve Cold Pressed Juice Beat That,Rp47.000,Instant,
187,Rejuve Cold Pressed Juice Asian Green,Rp47.000,Instant,
188,Rejuve Cold Pressed Juice U.Glow,Rp47.000,Instant,
189,Rejuve Cold Pressed Juice I.Glow,Rp47.000,Instant,
190,Evian Natural Mineral Water Glass 330ml x 20pcs,Rp720.000,Instant,
191,Evian Natural Mineral Water PET 500ml x 24pcs,Rp572.000,Instant,
192,Evian Natural Mineral Water PET 1500ml x 12pcs,Rp516.500,Instant,
193,Evian Natural Mineral Water PET 750ml x 12pcs,Rp479.500,Instant,
194,AQUA Air Mineral Dus 330ml,Rp61.700,Instant,7%
195,Evian Natural Mineral Water PET 330ml x 24pcs,Rp297.850,Instant,30%
196,Evian Sparkling Mineral Water Glass 330ml x 20pcs,Rp685.000,Instant,
197,Aquviva Air Mineral Botol 700ml,Rp27.800,Instant,
198,Nestle Pure Life Air Mineral Multipack 1500ml,Rp29.600,Instant,
199,Beli 2 Carton Aquviva 1600ml Free Totebag Aquviva,Rp70.200,Instant,
200,[Bundle] 6x Pristine Air Mineral 600ml,Rp30.000,Instant,
201,[Bundle] 6x Pristine Air Mineral 1500ml,Rp55.800,Instant,
202,[Bundle] 6x Pristine Air Mineral 400ml,Rp18.600,Instant,
203,Prima Air Mineral Dus 24pcs x 600ml,Rp44.700,Instant,
204,Prima Air Mineral Dus 24pcs x 330ml,Rp39.600,Instant,
205,Evian Natural Mineral Water Glass,Rp38.500,Instant,
206,Evian Sparkling Mineral Water Glass,Rp40.500,Instant,
207,Evian Natural Mineral Water PET,Rp54.800,Instant,
208,Evian Natural Mineral Water PET,Rp41.500,Instant,
209,Ron88 Air Mineral Botol Dus 1500ml,Rp47.000,Instant,
210,Ron88 Air Mineral Botol Dus 600ml,Rp45.000,Instant,
211,Ron88 Air Mineral Botol Multipack 380ml,Rp38.500,Instant,
212,Ron88 Air Mineral Botol Multipack 240ml,Rp25.000,Instant,
213,Hydra Thera Natural Mineral Water,Rp30.000,Instant,
214,Cleo Air Murni,Rp5.900,Instant,
215,Bundling Mineral Water Astro Goods Multipack 600ml,Rp18.000,Instant,
216,AQUA Air Mineral Botol Dus 1500ml,Rp86.400,Instant,
217,Le Minerale Air Mineral Dus 330ml,Rp57.600,Instant,
218,AQUA Air Mineral Botol Dus 600ml,Rp73.600,Instant,
219,Aquviva Air Mineral 250ml,Rp29.000,Instant,
220,Bundle Aquviva 700ml,Rp15.600,Instant,4%
221, Aquviva Air Mineral 1600ml,Rp35.100,Instant,
222,Bundling Mineral Water Astro Goods Multipack 1500ml,Rp25.200,Instant,
223,Aquviva Mineral Water Botol,Rp2.700,Instant,
224,Aquviva Air Mineral,Rp5.900,Instant,
225,Evian Natural Mineral Water PET,Rp18.700,Instant,
226,ViCA Air Mineral Dus 220ml,Rp29.800,Instant,
227,Cleo Air Murni Botol Multipack 1500ml,Rp36.900,Instant,
228,Nestle Pure Life Air Mineral Botol Dus 1500ml,Rp54.000,Instant,
229,Vit Air Mineral Dus 1500ml,Rp56.600,Instant,
230,Evian Natural Mineral Water PET,Rp23.300,Instant,
231,Vit Air Mineral Cup Dus 200ml,Rp30.400,Instant,
232,AQUA Reflections Still Water Glass Bottle,Rp20.100,Instant,
233,Mineral Water Astro Goods Dus 1500ml,Rp52.020,Instant,15%
234,Cleo Air Murni Multipack 220ml,Rp28.800,Instant,
235,Mineral Water Astro Goods Dus 600ml,Rp61.200,Instant,15%
236,Mineral Water Astro Goods Botol,Rp3.000,Instant,
237,Mineral Water Astro Goods Botol,Rp4.200,Instant,
238,Prima Air Mineral Botol,Rp1.300,Instant,38%
239,Cleo Air Murni Botol,Rp6.400,Instant,
240,AQUA Click n Go Air Mineral Botol,Rp7.200,Instant,
241,Vit Air Mineral,Rp4.700,Instant,
242,AQUA Reflections Sparkling Water Glass Bottle,Rp21.000,Instant,
243,AQUA Air Mineral Multipack 600ml,Rp20.600,Instant,
244,AQUA Cube Air Mineral Dus 220ml,Rp33.600,Instant,
245,Nestle Pure Life Air Mineral Multipack 600ml,Rp15.500,Instant,
246,Nestle Pure Life Air Mineral Botol,Rp6.000,Instant,
247,Nestle Pure Life Air Mineral Botol,Rp2.800,Instant,
248,Amidis Distilled Air Mineral Botol,Rp4.700,Instant,
249,AQUA Air Mineral Multipack 1500ml,Rp38.400,Instant,
250,Le Minerale Air Mineral Botol,Rp6.100,Instant,
251,Pristine Air Mineral Botol,Rp9.300,Instant,
252,Pristine Air Mineral Botol,Rp5.000,Instant,
253,Pristine Air Mineral Botol,Rp3.100,Instant,
254,Crystaline Air Mineral Botol,Rp2.700,Instant,
255,AQUA Air Mineral Cup Dus 200ml,Rp49.600,Instant,
256,Eternal Plus Alkaline Water Botol,Rp10.500,Instant,
257,Le Minerale Air Mineral Botol,Rp2.900,Instant,
258,AQUA Air Mineral Botol,Rp7.200,Instant,
259,AQUA Air Mineral Botol,Rp3.500,Instant,
260,Minute Maid Pulpy Orange,Rp6.400,Instant,
261,Minute Maid Pulpy Orange,Rp15.400,Instant,
262,Tani Organic Pure Lemon Juice Alora,Rp32.500,Instant,
263,Combo Minute Maid x Astro Goods,Rp79.400,Instant,15%
264,Tani Organic Pure Lemon Juice Alora,Rp21.500,Instant,
265,Minute Maid Pulpy Orange Pet Dus 300ml,Rp69.120,Instant,10%
266,Diamond Juice Orange Unsweetened,Rp7.000,Instant,
267,Diamond Juice Blueberry Unsweetened,Rp30.800,Instant,
268,Diamond Juice Cranberry Unsweetened,Rp30.800,Instant,
269,Diamond Juice Blueberry Unsweetened UHT,Rp6.400,Instant,
270,Diamond Jungle Juice Lemon,Rp35.200,Instant,
271,Diamond Jungle Juice Mango,Rp35.100,Instant,
272,Diamond Jungle Juice Grape,Rp35.300,Instant,
273,Diamond Jungle Juice Pineapple,Rp35.200,Instant,
274,Sunfresh Premium Apple Juice,Rp50.700,Instant,
275,Sunfresh Premium Pineapple Juice,Rp56.300,Instant,
276,Sunfresh Premium Orange Juice Unsweetened,Rp57.400,Instant,
277,Buavita Jus Leci,Rp9.100,Instant,
278,Buavita Korean White Peach Juice,Rp11.000,Instant,1%
279,Diamond Jungle Juice Apple,Rp35.200,Instant,
280,Diamond Jungle Juice Guava,Rp35.200,Instant,
281,Diamond Jungle Juice Orange,Rp35.200,Instant,
282,Buavita Jus Jambu,Rp29.500,Instant,14%
283,Diamond Juice Cranberry,Rp40.800,Instant,
284,Buavita Jus Mangga,Rp9.100,Instant,
285,Buavita Jus Jambu,Rp9.100,Instant,
286,Ichitan Korean Banana Milk,Rp9.500,Instant,
287,Yeo's Grass Jelly Can,Rp7.700,Instant,
288,Pororo Blueberry Flavored,Rp16.300,Instant,
289,Nescafe Gula Aren Coffee,Rp7.500,Instant,
290,Baked. Coffee Can Oat Mocha Latte,Rp41.300,Instant,
291,Baked. Coffee Oat Latte Can,Rp41.300,Instant,
292,Baked. Coffee Latte Can,Rp36.100,Instant,
293,Baked. Cold Brew Coffee Can,Rp31.000,Instant,
294,Nescafe Ice Black Can,Rp7.800,Instant,
295,Good Day Avocado Delight Coffee/Kopi,Rp7.800,Instant,
296,Good Day Coffee Originale Cappuccino,Rp7.800,Instant,
297,Nescafe Latte Coffee,Rp7.200,Instant,
